id,ss_id,produce_id,ProduceWeight,PercentageReceived,ContainerType,ChildSurvey
51787143-56de1f04,441-51787008-850bdf2c,prod1000,2,1,1,0
36808733-ccd83934,453-36808645-d7d14968,prod1000,2,1,1,0
39485152-1b591d8b,454-39485131-071243a8,prod1000,2,1,1,0
39631137-33098a05,455-39631054-5977164f,prod1000,2,1,1,0
38847167-36fba825,456-38847084-0b9c979c,prod1000,2,1,1,0
51714424-e9880f8b,456-51714359-59d81df8,prod1000,2,1,1,0
39462682-37eddd56,458-39444240-bd9db7fa,prod1000,2,1,1,0
38827322-3d7cc87c,459-38827294-80dbc2d3,prod1000,2,1,1,0
38827362-665f9642,459-38827294-80dbc2d3,prod1000,2,1,1,0
46611758-2de119c9,459-46611588-f8a72512,prod1000,2,1,1,0
51710186-937138bc,459-51710065-0502f0b9,prod1000,2,1,1,0
39540154-11fa6ab2,460-39540140-a3ad65a4,prod1000,2,1,1,0
38086593-b343f639,461-38086573-c72f8f91,prod1000,2,1,1,0
38086671-7bef07b1,461-38086573-c72f8f91,prod1000,2,1,1,0
39372045-7fd5ea2d,463-39372023-cb3588f5,prod1000,2,1,1,0
35949659-300c8f27,468-35949643-466ea915,prod1000,2,1,1,0
47200092-ce53c74a,468-47199978-daa43a71,prod1000,2,1,1,0
34416728-a5509622,486-34416218-c6def17b,prod1000,2,1,1,0
38833773-54843583,486-38833689-40fd188d,prod1000,2,1,1,0
40072114-ffda614f,486-40072076-79342cd9,prod1000,2,1,1,0
46674515-1fe2afec,486-46674479-231890cf,prod1000,2,1,1,0
49488067-30b2ea2a,486-49488014-8a4a7476,prod1000,2,1,1,0
51701204-5ae6a99b,486-51701067-fe9d323d,prod1000,2,1,1,0
38835065-afe09583,487-38835002-4b8f9124,prod1000,2,1,1,0
40044362-43adbfc4,487-40044007-777a21c8,prod1000,2,1,1,0
44466825-aff9ff41,487-44466626-c6232bd7,prod1000,2,1,1,0
46671424-0ce75e5e,487-46671383-c1be8fb5,prod1000,2,1,1,0
49491744-76cfed4f,487-49491631-5aaf3179,prod1000,2,1,1,0
51694806-7a49fda4,487-51694746-6f59744e,prod1000,2,1,1,0
39553972-7eb1ce7e,490-39553758-fd1f259e,prod1000,2,1,1,0
50180662-ff74f091,490-50180626-478c5862,prod1000,2,1,1,0
37146389-b5b7041b,491-37146324-23f86ee5,prod1000,2,1,1,0
39353988-c63a2a1a,491-39353938-4e42f25b,prod1000,2,1,1,0
37322211-f8b81eab,492-37322189-9a220ad5,prod1000,2,1,1,0
39527529-6ae57a1d,492-39527509-522f5c3f,prod1000,2,1,1,0
47361064-255e6fc0,492-47360996-7feafb70,prod1000,2,1,1,0
50181565-00091d61,492-50181502-f0bdcd3a,prod1000,2,1,1,0
35222930-562331ea,493-35222734-c23914ec,prod1000,2,1,1,0
37314474-04434f06,493-37314461-a96de71f,prod1000,2,1,1,0
39523637-3bc10829,493-39523570-2c180141,prod1000,2,1,1,0
47367597-5a6dcad0,493-47367562-b1bc0cf5,prod1000,2,1,1,0
50182076-32b61ae0,493-50181987-ff51a6be,prod1000,2,1,1,0
46683814-16677d7e,506-46683096-0b2daf95,prod1000,2,1,1,0
46767006-9db30bd4,507-46766812-fac3d8d9,prod1000,2,1,1,0
46676169-2ec89e33,517-46675540-75f7e4a3,prod1000,2,1,1,0
35956334-7b0125bf,525-35956274-e580763c,prod1000,2,1,1,0
43795575-8b89a065,525-43795386-ca1e136f,prod1000,2,1,1,0
50029370-151d34fc,525-50029262-4c2888ee,prod1000,2,1,1,0
36538115-93144726,526-36538008-f691bc31,prod1000,2,1,1,0
38749054-673ffde8,526-38748972-c2074765,prod1000,2,1,1,0
50102553-d9b2da4a,526-50102519-45a15238,prod1000,2,1,1,0
51660063-0ef4a590,526-51660053-099eac5d,prod1000,2,1,1,0
35871362-9007fe2a,528-35871328-f26b5281,prod1000,2,1,1,0
36724031-7a11c551,528-36724014-0e9c75b0,prod1000,2,1,1,0
38943333-622126a5,528-38943168-376ff7ca,prod1000,2,1,1,0
46775967-9eff27bb,528-46775919-30989748,prod1000,2,1,1,0
39547934-0d9e429a,533-39547913-9c26fd6a,prod1000,2,1,1,0
35047475-cd097230,538-35047418-d1080a87,prod1000,2,1,1,0
45097058-6e28e5be,538-45096990-7f45011f,prod1000,2,1,1,0
47383434-9669d179,538-47298631-61e3809c,prod1000,2,1,1,0
35191505-d6299c8e,539-35191480-aa760fc4,prod1000,2,1,1,0
37322970-62b47474,539-37322950-89d2f4da,prod1000,2,1,1,0
41652613-535f1b8a,539-41652475-a2498ddd,prod1000,2,1,1,0
45242029-ea418830,539-45241880-db87f043,prod1000,2,1,1,0
47362475-8cb44d69,539-47362300-717a8424,prod1000,2,1,1,0
50193233-fe388a5a,539-50193165-6cb8229a,prod1000,2,1,1,0
39371249-662fb88d,543-39371171-5b810ec8,prod1000,2,1,1,0
41579878-fd35e561,543-41579829-0b48f5e1,prod1000,2,1,1,0
49425290-d78abb33,543-49425244-50bb1330,prod1000,2,1,1,0
50288757-d8334170,543-50288731-7c169319,prod1000,2,1,1,0
41578956-e1cd62c4,578-41567035-f75bcc54,prod1000,2,1,1,0
36712607-364653ed,580-36710570-2d1592bb,prod1000,2,1,1,0
38753116-fe7dbcf5,580-38753078-dc99f7ad,prod1000,2,1,1,0
44385135-e2ecdfe4,580-44385040-498ef8e7,prod1000,2,1,1,0
46605719-ff9f14b5,580-46604851-945b9f70,prod1000,2,1,1,0
49408027-ab721363,580-49408018-07c93b90,prod1000,2,1,1,0
51618635-bb1e61f5,580-51617489-2471ca92,prod1000,2,1,1,0
39436696-7ea3a67b,581-39436681-5bba7fa9,prod1000,2,1,1,0
47279436-d8d50c96,581-47279363-c1f35d6c,prod1000,2,1,1,0
34503845-e367c4c1,582-34498705-b71cd412,prod1000,2,1,1,0
36711886-86c90456,582-36711795-6c2b87e3,prod1000,2,1,1,0
42183883-178c6159,582-42183599-0ddec885,prod1000,2,1,1,0
50286398-7899ba0a,582-50286343-d9c84feb,prod1000,2,1,1,0
37404513-5179e9e0,583-37404467-71a07e4e,prod1000,2,1,1,0
39437641-3ae6d69e,583-39437609-8f1d16af,prod1000,2,1,1,0
50108094-0f27ab59,583-50108045-18cbf9c5,prod1000,2,1,1,0
51799744-cfa1594d,583-51799646-58f24452,prod1000,2,1,1,0
49367597-cbdbba0f,584-49366826-37175d1b,prod1000,2,1,1,0
49667966-5103e3d6,584-49667845-20af6fab,prod1000,2,1,1,0
51795258-63a8aba1,584-51795115-e7f679d8,prod1000,2,1,1,0
38933833-7bbb0b2e,585-38933712-9c6407a1,prod1000,2,1,1,0
47463427-d9815601,585-47463184-8c3e16be,prod1000,2,1,1,0
49686438-1cb7ea95,585-49686195-0f206364,prod1000,2,1,1,0
51831704-bd47d17a,585-51831651-a0eeeff0,prod1000,2,1,1,0
38929728-72182444,586-38928771-76a3efba,prod1000,2,1,1,0
47463693-26a11ee4,586-47463350-300fb38d,prod1000,2,1,1,0
50896438-66de928f,586-50896121-b2ce0adf,prod1000,2,1,1,0
